Set  Type   Title
GGB  S7     Indirigan Heavy Cruiser (Schwerer Indirischer Kreuzer)
GGB  S8     Indirigan Nomads Battlecruiser (Indirischer Schlachtkreuzer - Schlatchtkreuzer der Indirischen Nomaden)
GGB  S10    Indirigan Battleship (Indirisches Schlachtenschiff)
GGB  S1     Krebiz Medium Capsule (Mittelschwerer Krebische Raumkapsel)
GGB  S1     Krebiz Minesweeper Capsule (Krebische Minenräumkapsel)
GGB  S2     Krebiz Battle Capsule (Krebische Gefechtskapsel)
GGB  S2     Krebiz Clipper Frigate (Krebische Fregatte - Fregatte der Klipper-Klasse)
GGB  S2     Krebiz Command Capsule (Krebische Kommandokapsel)
GGB  S2     Krebiz Heavy Capsule (Schwere Krebische Raumkapsel)
GGB  S3     Krebiz Dreadnought Capsule (Krebische Raumkapsel der Dreadnought-Klasse)
GGB  S4     Krebiz Mandible Light Cruiser (Leichter Krebischer Kreuzer der Schnabel-Klasse)
GGB  S5     Krebiz Claw Heavy Cruiser (Schwerer Krebischer Kruezer der Kauen-Klasse)
GGB  S6     Krebiz Kraken Dreadnought (Krebischer Dreadnought der Kraken-Klasse)
GGB  S2     Mechad Frigate (Mechadische Fregatte)
GGB  S4     Mechad Medium Cruiser (Mittelschwerer Mechadischer Kreuzer)
GGB  S5     Mechad Heavy Cruiser (Schwerer Mechadischer Kreuzer)
GGB  S6     Mechad Battlecruiser (Mechadischer Schlachtkreuzer)
GGB  S6     Mechad Command Cruiser (Mechadischer Kommandokreuzer)
GGB  S7     Mechad Dreadnought (Mechadischer Dreadnought)
GGB  S8     Mechad Battleship (Mechadischer Schlachtschiff)
GGB  S3     Vektrean Destroyer (Vektreanische Zerstörer - Zerstörer der Vektreanischen Söldner)
GGB  S5     Vektrean Heavy Cruiser (Schwerer Vektreanischer Kruezer - Schwerer Kruezer der Vektreanischen Söldner)
GGB  S6     Vektrean Battlecruiser (Vektreanischer Schlachtkreuzer)
GGB  K1     Captured Satellite (Eingefangener Satellit)
GGB  K1     Large Asteroid (Großer Asteroid)
GGB  K2     Kalin's Small Red Nebula (Kleiner Nebel - Kalins Kleiner Roter Nebel)
GGB  K/H2   Plasma Field (Plasmafeld)
GGB  K3     Armory Moon (Waffenlager)
GGB  K3     Benakis Asteroid Belt (Asteroidengürtel - Benakis Asteroidengürtel)
GGB  K3     Ore Moon (Erzmond)
GGB  K4     Small Planet - Bolaar IV (Kleiner Planet - Bolaar IV)
GGB  K4     Small Planet - Siobhan-7 (Kleiner Planet - Siobhan-7)
GGB  K5     Homecloud Nebula (Heimatnebel)
GGB  K5     Planet - Vektrea Prime (Vektrea)
GGB  K5     Small System - The Cramannerak System (Kleines System - Das Cramanneraksystem)
GGB  K5     Star (Sonne)
GGB  K5     Twin Planets - Verkirsh I & II (Zwillingsplaneten - Verkish I & II)
GGB  K6     Asteroid Field (Asteroidenfeld)
GGB  K6     Planet - Vorn Ringed Gas Giant (Planet - Der Beringte Gasriese Vorn)
GGB  K7     Planet - Krebizar (Planet - Krebar)
GGB  K8     Mechad System (System - Das Mechadsystem)
GGB  K8     The Scandig System (System - Das Scandigsystem)
GGB  K9     Planet - Corporate Homeworld (Planet - Heimatweit des Konzerns)
GGB  K10    Super-Massive Star (Gigantische Sonne)
GGB  Spcl   German Gold Border Booster Box (Series G)
